# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 1000 bp upstream, 1000 bp downstream, 30000 bp max extension, curated regulatory domains included
A1BG	unnamed (+22875)
ABHD11	unnamed (-10466), unnamed (-4188)
ABHD12B	unnamed (-26852)
ABHD14B	unnamed (-9295), unnamed (-48)
ABHD15	unnamed (-823)
ABHD16B	unnamed (-13144), unnamed (-2711)
ABHD17A	unnamed (-12335), unnamed (+9217)
ABHD17B	unnamed (-654)
ABHD17C	unnamed (+9577)
ABHD18	unnamed (-35)
ABHD2	unnamed (-20968), unnamed (-17865), unnamed (-16295), unnamed (-108), unnamed (+2746), unnamed (+24291)
ABHD3	unnamed (+5202), unnamed (+18345)
ABHD4	unnamed (+6)
ABHD5	unnamed (-12331), unnamed (-3892), unnamed (-2334), unnamed (-230), unnamed (+141), unnamed (+1473)
ABHD6	unnamed (+431), unnamed (+857), unnamed (+4432)
ABHD8	unnamed (+16)
ABI1	unnamed (+810)
ABL1	unnamed (-1287)
ABL2	unnamed (-876), unnamed (+24160)
ABLIM2	unnamed (+12346), unnamed (+25538)
ABLIM3	unnamed (+15928)
ABO	unnamed (-25434), unnamed (-19263), unnamed (-15708), unnamed (-8501), unnamed (-7545), unnamed (+2031), unnamed (+22571)
ABR	unnamed (-26368), unnamed (-23738), unnamed (+27126)
ABRAXAS2	unnamed (0)
ABT1	unnamed (-3165), unnamed (-1543), unnamed (+11058)
ABTB1	unnamed (+24675)
ABTB2	unnamed (-13637), unnamed (-1357), unnamed (+28487)
ACAA1	unnamed (-767)
ACACA	unnamed (+27)
ACACB	unnamed (+5343)
ACAD11	unnamed (+498)
ACAD9	unnamed (-19815), unnamed (-14034), unnamed (-9038), unnamed (-116)
ACADM	unnamed (-17245)
ACADS	unnamed (+25883)
ACADVL	unnamed (-25463)
ACAN	unnamed (-13409)
ACAP1	unnamed (-3722)
ACAP2	unnamed (-17305), unnamed (-250)
ACAP3	unnamed (-981), unnamed (-701), unnamed (+3159)
ACAT1	unnamed (-139), unnamed (+422), unnamed (+2614)
ACBD4	unnamed (+14330)
ACBD6	unnamed (-18754), unnamed (+67), unnamed (+543)
ACCS	unnamed (+3)
ACCSL	unnamed (-14704), unnamed (-538)
ACE	unnamed (-16056), unnamed (-2751), unnamed (-1297)
ACER1	unnamed (-18658), unnamed (-10097), unnamed (-9785), unnamed (+10179), unnamed (+20108)
ACHE	unnamed (-3670), unnamed (-1592), unnamed (-203)
ACKR1	unnamed (+27231)
ACLY	unnamed (-143)
ACMSD	unnamed (+23669)
ACO2	unnamed (-39)
ACOT11	unnamed (-5584), unnamed (-1156), unnamed (+17881)
ACOT12	unnamed (-13928)
ACOT13	unnamed (-115)
ACOT4	unnamed (+19194)
ACOT6	unnamed (-5944)
ACOT7	unnamed (-28711), unnamed (-8259), unnamed (+15622), unnamed (+22125)
ACOX1	unnamed (-4268), unnamed (-89)
ACOX2	unnamed (-20361), unnamed (+16095)
ACOX3	unnamed (+512), unnamed (+12222)
ACOXL	unnamed (-18833), unnamed (-17479), unnamed (-14660), unnamed (+12133)
ACP1	unnamed (-96)
ACP2	unnamed (-15420), unnamed (+62)
ACP4	unnamed (-17812), unnamed (-16777)
ACP5	unnamed (+492), unnamed (+18485)
ACP6	unnamed (-7360)
ACP7	unnamed (-7745)
ACR	unnamed (-5921), unnamed (+1938), unnamed (+22043)
ACSBG2	unnamed (+2653), unnamed (+5702), unnamed (+29682)
ACSF2	unnamed (-26457), unnamed (-2308), unnamed (-370)
ACSF3	unnamed (-19677), unnamed (-2799), unnamed (-1), unnamed (+4603), unnamed (+21601)
ACSL1	unnamed (-20141), unnamed (-17305), unnamed (+28760)
ACSL3	unnamed (-25598), unnamed (+10)
ACSL4	unnamed (-25)
ACSL6	unnamed (+14699), unnamed (+16909)
ACSM2B	unnamed (+12328)
ACSM3	unnamed (-16173), unnamed (-3131), unnamed (+4633)
ACSM4	unnamed (+17511)
ACSM6	unnamed (-22436)
ACSS1	unnamed (+25881)
ACSS2	unnamed (+11959), unnamed (+27735)
ACTB	unnamed (-24849), unnamed (-24372), unnamed (-3403), unnamed (+4155), unnamed (+4685), unnamed (+9551)
ACTBL2	unnamed (-21694)
ACTG1	unnamed (-14019), unnamed (-100), unnamed (+17527), unnamed (+27844), unnamed (+28328)
ACTG2	unnamed (+15132)
ACTL6B	unnamed (-6163), unnamed (+20)
ACTL7A	unnamed (+23877)
ACTL7B	unnamed (+20943)
ACTL8	unnamed (+3), unnamed (+4017)
ACTL9	unnamed (-4618)
ACTN1	unnamed (-301)
ACTN2	unnamed (+26)
ACTN3	unnamed (-235)
ACTN4	unnamed (+27296), unnamed (+28919)
ACTR1A	unnamed (+23511)
ACTR1B	unnamed (+1140), unnamed (+7037)
ACTR2	unnamed (+4145)
ACTR3	unnamed (-11003), unnamed (-2756)
ACTR3B	unnamed (-26303), unnamed (-23806), unnamed (-12418), unnamed (-13), unnamed (+453)
ACTR3C	unnamed (-15278), unnamed (-10274), unnamed (-10029), unnamed (-4358), unnamed (-2472), unnamed (+16966)
ACTR5	unnamed (-16839), unnamed (-2464), unnamed (-720)
ACTRT3	unnamed (+4770), unnamed (+9194)
ACVR1B	unnamed (-69), unnamed (+20606), unnamed (+21358)
ACY1	unnamed (+179)
ACY3	unnamed (-8534), unnamed (+73)
ACYP1	unnamed (-447), unnamed (-32)
ACYP2	unnamed (-51)
ADAD1	unnamed (-1444)
ADAM10	unnamed (-18908), unnamed (+121), unnamed (+17145)
ADAM11	unnamed (+11849), unnamed (+19965)
ADAM12	unnamed (-4054)
ADAM17	unnamed (-2039)
ADAM22	unnamed (-382)
ADAM23	unnamed (-20168)
ADAM33	unnamed (-16428), unnamed (-5590)
ADAM8	unnamed (-28472), unnamed (-845), unnamed (+28679)
ADAM9	unnamed (+2148)
ADAMTS10	unnamed (+2499), unnamed (+13954)
ADAMTS13	unnamed (+6701)
ADAMTS14	unnamed (-24093), unnamed (-23042), unnamed (-20955), unnamed (-19380), unnamed (-7740), unnamed (-5371), unnamed (-4236), unnamed (+1274), unnamed (+10929)
ADAMTS16	unnamed (-13642)
ADAMTS17	unnamed (-144), unnamed (+4695)
ADAMTS2	unnamed (+8628)
ADAMTS3	unnamed (+1234), unnamed (+13651)
ADAMTS6	unnamed (-61), unnamed (+15625)
ADAMTSL2	unnamed (+26812)
ADAMTSL4	unnamed (-220), unnamed (+12839), unnamed (+18896), unnamed (+24041)
ADAMTSL5	unnamed (-9721), unnamed (-3396), unnamed (+9678)
ADAP1	unnamed (+27846)
ADAP2	unnamed (-8918), unnamed (+10076), unnamed (+12473)
ADAR	unnamed (-19824), unnamed (-19108)
ADARB1	unnamed (-29036), unnamed (-19267), unnamed (-9837)
ADARB2	unnamed (-9515), unnamed (+20419)
ADAT2	unnamed (-75), unnamed (+389)
ADAT3	unnamed (-159)
ADCK1	unnamed (-2), unnamed (+5825), unnamed (+14907), unnamed (+25932)
ADCK2	unnamed (-2215)
ADCK5	unnamed (-7999), unnamed (-1226), unnamed (-230), unnamed (+1916), unnamed (+28064)
ADCY10	unnamed (-14556), unnamed (+4019)
ADCY3	unnamed (-1489), unnamed (+24250)
ADCY4	unnamed (+5142), unnamed (+6528), unnamed (+18726)
ADCY7	unnamed (-19573), unnamed (+12798), unnamed (+17006)
ADCY9	unnamed (-13504)
ADD1	unnamed (-8498)
ADD2	unnamed (+816), unnamed (+11479), unnamed (+20661)
ADD3	unnamed (-25930)
ADGB	unnamed (+16291)
ADGRA2	unnamed (+10655), unnamed (+25145)
ADGRB1	unnamed (-11194)
ADGRB2	unnamed (+21018)
ADGRB3	unnamed (-28572), unnamed (-26458), unnamed (+14511)
ADGRD1	unnamed (-29230), unnamed (-24819), unnamed (-6184), unnamed (-4863)
ADGRD2	unnamed (-5449), unnamed (+20867), unnamed (+28613)
ADGRE1	unnamed (-17846), unnamed (-17560), unnamed (+3518), unnamed (+16085), unnamed (+19300)
ADGRE2	unnamed (-6853)
ADGRE3	unnamed (+26023)
ADGRE5	unnamed (-26821), unnamed (-25456), unnamed (-17632), unnamed (-14616), unnamed (-985), unnamed (-190), unnamed (+24896)
ADGRF2	unnamed (+13410)
ADGRF3	unnamed (-25709), unnamed (-23859), unnamed (-14409)
ADGRF4	unnamed (-28656), unnamed (-10885), unnamed (+125), unnamed (+16010)
ADGRG1	unnamed (-11581), unnamed (+3735), unnamed (+15610)
ADGRG2	unnamed (-7297)
ADGRG3	unnamed (-5629), unnamed (-655), unnamed (+13684), unnamed (+18586), unnamed (+21981)
ADGRG4	unnamed (-27623)
ADGRG5	unnamed (+22398)
ADGRL1	unnamed (-21775), unnamed (-219), unnamed (+3326), unnamed (+12484), unnamed (+16800)
ADGRV1	unnamed (-94)
ADHFE1	unnamed (+29157)
ADI1	unnamed (-16516)
ADIPOQ	unnamed (-15857)
ADIPOR2	unnamed (-28965), unnamed (-49)
ADIRF	unnamed (-7526), unnamed (-1469), unnamed (+12969)
ADK	unnamed (-163), unnamed (+174), unnamed (+25238)
ADM	unnamed (-2194), unnamed (+9638)
ADM2	unnamed (+848), unnamed (+3970)
ADNP	unnamed (-564), unnamed (+14825)
ADNP2	unnamed (-77), unnamed (+732)
ADO	unnamed (-382)
ADORA1	unnamed (+1177), unnamed (+24374)
ADORA2A	unnamed (-25006), unnamed (-4565), unnamed (+13529)
ADORA2B	unnamed (+7252), unnamed (+29098)
ADORA3	unnamed (-7749)
ADPGK	unnamed (+5)
ADPRH	unnamed (-5231)
ADPRHL1	unnamed (+2917), unnamed (+4169), unnamed (+15749), unnamed (+20976), unnamed (+27139)
ADPRHL2	unnamed (+8359)
ADRA1D	unnamed (+3954), unnamed (+24629)
ADRA2B	unnamed (-15418), unnamed (-6380), unnamed (-1704)
ADRA2C	unnamed (-9862), unnamed (+7296), unnamed (+8234), unnamed (+15315)
ADRB2	unnamed (-28127)
ADRB3	unnamed (+6220), unnamed (+8785), unnamed (+20055)
ADRM1	unnamed (-19843), unnamed (+4263)
ADSL	unnamed (-17365), unnamed (+261)
ADSS	unnamed (+1347)
ADSSL1	unnamed (-28716), unnamed (-11831), unnamed (-279), unnamed (+20630)
ADTRP	unnamed (+6971), unnamed (+7777), unnamed (+17827)
AEBP1	unnamed (-10924), unnamed (+9299)
AEBP2	unnamed (-155)
AEN	unnamed (-33), unnamed (+14943)
AES	unnamed (-10359), unnamed (-7564), unnamed (+15268), unnamed (+26781), unnamed (+27411)
AFAP1	unnamed (-23344)
AFAP1L1	unnamed (-2746)
AFDN	unnamed (-11750), unnamed (-2944), unnamed (-2188), unnamed (+12747)
AFF1	unnamed (-8227), unnamed (-7104), unnamed (+4545), unnamed (+7357), unnamed (+26840)
AFF3	unnamed (+20798)
AFF4	unnamed (-30)
AFG1L	unnamed (+29), unnamed (+18218)
AFG3L2	unnamed (-19365), unnamed (-189)
AFMID	unnamed (-223), unnamed (+17504)
AGA	unnamed (-53)
AGAP1	unnamed (-24875), unnamed (-17263)
AGAP3	unnamed (-1006), unnamed (+10890)
AGAP4	unnamed (-10233), unnamed (-1144)
AGAP5	unnamed (-9999), unnamed (-1154)
AGAP6	unnamed (-15034), unnamed (-10246), unnamed (-1190)
AGAP9	unnamed (-29909), unnamed (-10158), unnamed (-1145)
AGBL2	unnamed (+7761)
AGBL5	unnamed (+4861)
AGER	unnamed (-1610)
AGFG1	unnamed (-21386), unnamed (-20823), unnamed (+8025)
AGFG2	unnamed (-23787), unnamed (-17115), unnamed (-259), unnamed (+6602), unnamed (+8898), unnamed (+29149)
AGGF1	unnamed (-918), unnamed (-85)
AGK	unnamed (+180), unnamed (+512)
AGL	unnamed (-847)
AGMAT	unnamed (-18569), unnamed (-16554), unnamed (-10256)
AGO1	unnamed (-13428)
AGO2	unnamed (+1080)
AGO3	unnamed (-421)
AGO4	unnamed (-14740)
AGPAT1	unnamed (-46)
AGPAT2	unnamed (-20825), unnamed (-9195), unnamed (+23209), unnamed (+24849)
AGPAT3	unnamed (-11872), unnamed (-2827), unnamed (+13831)
AGPAT4	unnamed (-63), unnamed (+2188), unnamed (+19000), unnamed (+29087)
AGPAT5	unnamed (-4998), unnamed (+625), unnamed (+1708)
AGPS	unnamed (+3166)
AGR2	unnamed (-20824), unnamed (+12956)
AGRP	unnamed (-20687)
AGT	unnamed (+5541), unnamed (+17331)
AGTPBP1	unnamed (-383)
AGTRAP	unnamed (-28272), unnamed (-23994), unnamed (-107), unnamed (+248), unnamed (+773), unnamed (+1276), unnamed (+13182), unnamed (+16726), unnamed (+21135), unnamed (+25930)
AGXT2	unnamed (-1036)
AHCY	unnamed (-29022), unnamed (-19538), unnamed (+60), unnamed (+2320), unnamed (+4411), unnamed (+8365)
AHCYL1	unnamed (-14994), unnamed (-4879), unnamed (-662)
AHCYL2	unnamed (-515)
AHDC1	unnamed (-19906)
AHI1	unnamed (-28001), unnamed (-19), unnamed (+13442), unnamed (+13716), unnamed (+25555)
AHNAK	unnamed (+55)
AHNAK2	unnamed (+7619)
AHRR	unnamed (+10507), unnamed (+13120), unnamed (+21389), unnamed (+23296), unnamed (+26978)
AHSA1	unnamed (-290), unnamed (-68), unnamed (+532)
AHSA2	unnamed (-373)
AICDA	unnamed (+27745)
AIDA	unnamed (-757), unnamed (-257), unnamed (+394)
AIF1L	unnamed (-29537), unnamed (-27232), unnamed (-19955), unnamed (-2803), unnamed (+6029), unnamed (+10779)
AIFM1	unnamed (+448)
AIFM2	unnamed (-4266)
AIFM3	unnamed (+14515)
AIG1	unnamed (-25872), unnamed (-509), unnamed (+4317)
AIMP1	unnamed (-3209), unnamed (+72)
AIMP2	unnamed (+249), unnamed (+14863)
AJAP1	unnamed (-19853)
AJUBA	unnamed (-24515)
AK1	unnamed (-24425), unnamed (+10281), unnamed (+11256)
AK2	unnamed (-26677), unnamed (-8932), unnamed (-8398), unnamed (+745)
AK4	unnamed (-372)
AK5	unnamed (+5660)
AK6	unnamed (+14)
AK7	unnamed (-23331), unnamed (+13591), unnamed (+16665)
AK9	unnamed (+3675)
AKAP1	unnamed (-18356), unnamed (-451), unnamed (+511), unnamed (+13586)
AKAP10	unnamed (-999), unnamed (-106)
AKAP11	unnamed (-281)
AKAP12	unnamed (+300)
AKAP17A	unnamed (+23)
AKAP3	unnamed (-70)
AKAP4	unnamed (+20229)
AKAP8	unnamed (-344), unnamed (-63), unnamed (+602)
AKAP8L	unnamed (-191)
AKIP1	unnamed (+3029)
AKIRIN1	unnamed (-19581), unnamed (+23995)
AKIRIN2	unnamed (-23397), unnamed (-21057), unnamed (-14908)
AKNA	unnamed (-2732)
AKR1A1	unnamed (+273)
AKR1B1	unnamed (+14077)
AKR1B10	unnamed (-2220)
AKR1C1	unnamed (-21538), unnamed (+22001)
AKR1C2	unnamed (+18769)
AKR1E2	unnamed (-13088), unnamed (-39), unnamed (+9313), unnamed (+20680), unnamed (+23500)
AKR7A2	unnamed (-570), unnamed (-177), unnamed (+11785)
AKR7A3	unnamed (-11111), unnamed (+27572)
AKT1	unnamed (+25148), unnamed (+27048)
AKT1S1	unnamed (-19914), unnamed (-12523), unnamed (-12141), unnamed (-3833), unnamed (+496)
AKT2	unnamed (+297), unnamed (+12350), unnamed (+12578)
AKTIP	unnamed (-8280)
ALAD	unnamed (-98), unnamed (+15463), unnamed (+21630)
ALAS1	unnamed (-8873), unnamed (+21063)
ALAS2	unnamed (+15975)
ALDH16A1	unnamed (+370)
ALDH18A1	unnamed (-7842), unnamed (-137)
ALDH1A2	unnamed (+677)
ALDH1B1	unnamed (-20980)
ALDH1L1	unnamed (+24440)
ALDH1L2	unnamed (-16215)
ALDH3A1	unnamed (+20471)
ALDH3A2	unnamed (-43)
ALDH3B1	unnamed (-1806), unnamed (-742), unnamed (+6668)
ALDH3B2	unnamed (-24665), unnamed (+15438)
ALDH4A1	unnamed (-6696), unnamed (-162), unnamed (+10002), unnamed (+24220)
ALDH5A1	unnamed (-3870), unnamed (+764), unnamed (+27652)
ALDH6A1	unnamed (-465), unnamed (-43)
ALDH7A1	unnamed (+27692)
ALDH8A1	unnamed (+15543)
ALDOA	unnamed (+11267)
ALDOC	unnamed (+123)
ALG1	unnamed (-2613), unnamed (+13)
ALG10	unnamed (+123)
ALG10B	unnamed (+105)
ALG12	unnamed (+23476)
ALG14	unnamed (-8377), unnamed (+11926), unnamed (+20138)
ALG1L	unnamed (+18422)
ALG1L2	unnamed (-24322), unnamed (+2980), unnamed (+14760)
ALG2	unnamed (+27819)
ALG3	unnamed (-525), unnamed (0)
ALKAL2	unnamed (-1603)
ALKBH2	unnamed (-18)
ALKBH4	unnamed (-41), unnamed (+13358)
ALKBH5	unnamed (-23678), unnamed (-7912), unnamed (-817), unnamed (+29597)
ALKBH6	unnamed (-323)
ALKBH8	unnamed (+345)
ALMS1	unnamed (+529)
ALOX12	unnamed (-18991), unnamed (-1661)
ALOX12B	unnamed (-22299)
ALOX15	unnamed (-3578)
ALOX15B	unnamed (-21865), unnamed (-14505), unnamed (+3111)
ALOX5AP	unnamed (-22672)
ALOXE3	unnamed (+484), unnamed (+9045)
ALPI	unnamed (-23558), unnamed (+24955)
ALPK3	unnamed (+1718), unnamed (+2077), unnamed (+7018), unnamed (+21342), unnamed (+22724)
ALPL	unnamed (-20414), unnamed (-1204)
ALPPL2	unnamed (+25722)
ALS2	unnamed (-4169), unnamed (+254)
ALS2CR12	unnamed (-25986)
ALX4	unnamed (-28484), unnamed (-16576), unnamed (-10431), unnamed (+587)
ALYREF	unnamed (-170), unnamed (+6761)
AMBRA1	unnamed (-17665)
AMD1	unnamed (-16), unnamed (+1738)
AMDHD1	unnamed (-221), unnamed (+29947)
AMDHD2	unnamed (-14), unnamed (+592)
AMELX	unnamed (-24794), unnamed (-20372)
AMER2	unnamed (-7735), unnamed (+23714)
AMHR2	unnamed (+1179), unnamed (+14170)
AMIGO1	unnamed (-26393), unnamed (-372)
AMIGO3	unnamed (+29157)
AMMECR1	unnamed (-13356), unnamed (-3025)
AMN	unnamed (-44), unnamed (+8772)
AMOTL1	unnamed (-12710), unnamed (+8240)
AMPD2	unnamed (-898), unnamed (+22171), unnamed (+24248)
AMPD3	unnamed (-22076), unnamed (+4291), unnamed (+4707), unnamed (+5293)
AMT	unnamed (+9229)
AMZ1	unnamed (-26856), unnamed (-19067), unnamed (-18578), unnamed (-17297), unnamed (+25952)
AMZ2	unnamed (-20857), unnamed (-7430), unnamed (+410)
ANAPC1	unnamed (+252), unnamed (+796)
ANAPC10	unnamed (-267), unnamed (+246)
ANAPC11	unnamed (+17)
ANAPC13	unnamed (+1), unnamed (+720)
ANAPC2	unnamed (-90)
ANAPC5	unnamed (-47)
ANAPC7	unnamed (+124), unnamed (+1130)
ANGEL1	unnamed (+5)
ANGPT1	unnamed (-19805)
ANGPT2	unnamed (-12260)
ANGPT4	unnamed (-8573)
ANGPTL2	unnamed (-560), unnamed (+9071), unnamed (+11456)
ANGPTL3	unnamed (+24645)
ANGPTL6	unnamed (+6494), unnamed (+10695)
ANGPTL7	unnamed (-8732)
ANGPTL8	unnamed (-14056)
ANHX	unnamed (-28986)
ANK3	unnamed (-20170)
ANKDD1A	unnamed (-29500), unnamed (-17743)
ANKDD1B	unnamed (-492)
ANKEF1	unnamed (+34)
ANKFY1	unnamed (+14148)
ANKHD1	unnamed (-85)
ANKHD1-EIF4EBP3	unnamed (-179), unnamed (+922)
ANKIB1	unnamed (+575)
ANKK1	unnamed (-12196), unnamed (-9514)
ANKLE2	unnamed (-6605), unnamed (+4491)
ANKMY1	unnamed (+25807)
ANKRA2	unnamed (-38)
ANKRD10	unnamed (-562)
ANKRD11	unnamed (-15050), unnamed (-12089), unnamed (+4722)
ANKRD12	unnamed (-32)
ANKRD13A	unnamed (-442)
ANKRD13C	unnamed (-328)
ANKRD13D	unnamed (-11545)
ANKRD17	unnamed (-407), unnamed (+679), unnamed (+26474)
ANKRD2	unnamed (-9924)
ANKRD23	unnamed (-469)
ANKRD27	unnamed (-553), unnamed (+3256), unnamed (+5033)
ANKRD33	unnamed (-3166), unnamed (-1933)
ANKRD36B	unnamed (-29340), unnamed (-23872), unnamed (-19012)
ANKRD36C	unnamed (-21320), unnamed (-19394), unnamed (-151)
ANKRD37	unnamed (+197)
ANKRD40	unnamed (+2), unnamed (+610)
ANKRD45	unnamed (-14102), unnamed (-13855)
ANKRD46	unnamed (-27480)
ANKRD49	unnamed (+365)
ANKRD50	unnamed (-760), unnamed (-204)
ANKRD52	unnamed (-3692)
ANKRD53	unnamed (-1571)
ANKRD9	unnamed (-22572), unnamed (-15001), unnamed (+11259), unnamed (+22826)
ANKS1A	unnamed (-28)
ANKS1B	unnamed (-24019)
ANKS3	unnamed (-20870), unnamed (-11211)
ANKS4B	unnamed (-11257)
ANKZF1	unnamed (+11259), unnamed (+13881)
ANLN	unnamed (-39)
ANO10	unnamed (-27672), unnamed (-16909), unnamed (-315), unnamed (+25)
ANO6	unnamed (-121)
ANO7	unnamed (+13642), unnamed (+25939), unnamed (+29081)
ANO8	unnamed (+17291)
ANO9	unnamed (-6052), unnamed (-2452), unnamed (-1732), unnamed (+19674)
ANP32A	unnamed (-11719), unnamed (-8259), unnamed (+4574)
ANP32B	unnamed (-22358), unnamed (-293), unnamed (+1554), unnamed (+3296)
ANP32E	unnamed (-6041)
ANPEP	unnamed (-2891), unnamed (-356), unnamed (+22809)
ANTXR2	unnamed (-26284), unnamed (-642)
ANXA11	unnamed (-15522), unnamed (-12781), unnamed (+2272), unnamed (+17333)
ANXA13	unnamed (-28914), unnamed (+19552), unnamed (+23136)
ANXA2R	unnamed (-21780), unnamed (-36)
ANXA3	unnamed (-25764)
ANXA4	unnamed (-6081), unnamed (+61), unnamed (+11726), unnamed (+28473)
ANXA5	unnamed (+902)
ANXA6	unnamed (-27016), unnamed (-5090), unnamed (+55)
ANXA8	unnamed (+6539), unnamed (+22630)
ANXA8L1	unnamed (+6433), unnamed (+22471)
ANXA9	unnamed (-4740), unnamed (-2818), unnamed (+226), unnamed (+19783)
AOC1	unnamed (+24774)
AOC2	unnamed (+5343)
AOC3	unnamed (-1241), unnamed (+27145)
AP1AR	unnamed (-2396), unnamed (-255), unnamed (+689)
AP1B1	unnamed (-7)
AP1G1	unnamed (-17381), unnamed (-7512)
AP1G2	unnamed (-1911)
AP1M1	unnamed (+23381)
AP1M2	unnamed (-29910), unnamed (-16095), unnamed (+6110), unnamed (+14749)
AP1S1	unnamed (-15696), unnamed (+2600), unnamed (+8644)
AP1S2	unnamed (-262)
AP1S3	unnamed (-6855)
AP2A1	unnamed (+3585)
AP2A2	unnamed (-6378)
AP2B1	unnamed (-74)
AP2M1	unnamed (-14217), unnamed (-3064), unnamed (-211)
AP2S1	unnamed (-9882), unnamed (-5863), unnamed (+6114)
AP3B1	unnamed (-14136)
AP3B2	unnamed (-29476), unnamed (-12294)
AP3D1	unnamed (-40), unnamed (+1184)
AP3M1	unnamed (-340), unnamed (-3)
AP3M2	unnamed (-23424), unnamed (-256)
AP3S1	unnamed (+447)
AP3S2	unnamed (+289), unnamed (+19189)
AP4M1	unnamed (-704), unnamed (-123)
AP5B1	unnamed (+8979)
AP5M1	unnamed (-31)
AP5S1	unnamed (-12829), unnamed (-8630)
AP5Z1	unnamed (-36), unnamed (+24459)
APBA2	unnamed (-24609), unnamed (+5830), unnamed (+25469)
APBA3	unnamed (-938), unnamed (+17919), unnamed (+28056), unnamed (+29409)
APBB1	unnamed (-19126), unnamed (+5204), unnamed (+16713), unnamed (+21883)
APBB1IP	unnamed (+6092)
APBB3	unnamed (-417), unnamed (-96)
APC	unnamed (-42), unnamed (+4739)
APC2	unnamed (+2495)
APEH	unnamed (-662), unnamed (-30), unnamed (+387)
APEX1	unnamed (-55)
APEX2	unnamed (+14732)
APH1A	unnamed (+190), unnamed (+568), unnamed (+971)
APH1B	unnamed (+14211)
API5	unnamed (-7253)
APIP	unnamed (+17)
APLN	unnamed (-51)
APLNR	unnamed (+18009)
APLP1	unnamed (-7535), unnamed (+1362), unnamed (+11808)
APMAP	unnamed (+195)
APOA1	unnamed (-22551), unnamed (-14749), unnamed (+1808)
APOA2	unnamed (+6447)
APOA4	unnamed (+896), unnamed (+29404)
APOA5	unnamed (-1482)
APOBEC1	unnamed (+20038)
APOBEC3A	unnamed (-28774), unnamed (-26826), unnamed (-1645)
APOBEC3B	unnamed (+1984)
APOBEC3C	unnamed (-29690), unnamed (-1100)
APOBEC3D	unnamed (-2308), unnamed (-138)
APOBEC3G	unnamed (-6065), unnamed (+144), unnamed (+3480)
APOBEC3H	unnamed (-16790)
APOBR	unnamed (-3089), unnamed (-2545)
APOC1	unnamed (-2871)
APOC2	unnamed (-3283)
APOC3	unnamed (+6250)
APOC4-APOC2	unnamed (+1682)
APOD	unnamed (+13192), unnamed (+18368), unnamed (+27626)
APOE	unnamed (-46), unnamed (+5622)
APOL1	unnamed (+5936)
APOL2	unnamed (+332)
APOL4	unnamed (+7088)
APOL5	unnamed (+24708)
APOL6	unnamed (-17657), unnamed (-13206)
APOLD1	unnamed (-132), unnamed (+16971)
APOOL	unnamed (-103)
APP	unnamed (-165)
APPBP2	unnamed (-20438)
APPL2	unnamed (+9681)
APRT	unnamed (-19136), unnamed (-12563), unnamed (-609), unnamed (-97), unnamed (+457), unnamed (+7303)
APTX	unnamed (-59), unnamed (+288)
AQP10	unnamed (-25291), unnamed (-93)
